"TITULO","ISSN","ESTRATO"
"REVISTA BRASILEIRA DE PESQUISA EM EDUCAÇÃO EM CIÊNCIAS","18065104","B4"
"REVISTA BRASILEIRA DE PESQUISA EM EDUCAÇÃO EM CIÊNCIAS","19842686","B4"
"REVISTA BRASILEIRA DE PESQUISA EM EDUCAÇÃO EM CIÊNCIAS","18065103","B4"
"REVISTA BRASILEIRA DE PLANTAS MEDICINAIS","15160572",NA
"REVISTA BRASILEIRA DE ZOOCIÊNCIAS","25963325","B4"
"REVISTA BRASILEIRA DE ZOOCIÊNCIAS","15176770","B4"
"REVISTA BRASILEIRA DE ZOOCIÊNCIAS","","B4"
"REVISTA BRASILEIRA DE ZOOLOGIA","01018175","B4"
"REVISTA CAATINGA","0100316X","A4"
"REVISTA CAATINGA","19832125","A4"
"REVISTA CAITITU - APROXIMANDO PESQUISA ECOLÓGICA E APLICAÇÃO","2318504X",NA
"REVISTA CANDOMBÁ","18090362",NA
"REVISTA CIÊNCIAS MÉDICAS E BIOLÓGICAS","16775090","B4"
"REVISTA COMMUNITAS","25265970","B4"
"REVISTA CONTEMPORÂNEA DE EDUCAÇÃO","18095747",NA
"REVISTA DA BAHIA","01032089",NA
"REVISTA DA BAHIA","",NA
"REVISTA DA BIOLOGIA","19845154","B4"
"REVISTA DA FACED","19806620","B4"
"REVISTA DA GESTÃO COSTEIRA INTEGRADA","16468872","B2"
"REVISTA DA SBENBIO","19821867","B4"
"REVISTA DA SOCIEDADE BRASILEIRA DE ARBORIZAÇÃO URBANA","19807694","B4"
"REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL","00378682","B1"
"REVISTA DE ARACNOLOGÍA","15769518","B4"
"REVISTA DE BIOLOGÍA MARINA Y OCEANOGRAFÍA","07181957","B3"
"REVISTA DE BIOLOGIA NEOTROPICAL","18079652","B4"
"REVISTA DE CIÊNCIAS AGRO-AMBIENTAIS","16791509",NA
"REVISTA DE CIÊNCIAS MÉDICAS E BIOLÓGICAS","16775090","B4"
"REVISTA DE DIREITOS DIFUSOS","15179192",NA
"REVISTA DE EDUCAÇÃO DO VALE DO SÃO FRANCISCO","21778183","B4"
"REVISTA DE EDUCAÇÃO, CIÊNCIAS E MATEMÁTICA","22382380","B4"
"REVISTA DE ENSINO DE BIOLOGIA DA ASSOCIAÇÃO BRASILEIRA DE ENSINO DE BIOLOGIA","19821867",NA
"REVISTA DE ENSINO DE BIOLOGIA DA ASSOCIAÇÃO BRASILEIRA DE ENSINO DE BIOLOGIA","19821067",NA
"REVISTA DE EXTENSÃO","18070221","B4"
"REVISTA DE FILOSOFIA: AURORA","01044443","B4"
"REVISTA DE GESTÃO COSTEIRA INTEGRADA","16468872","B2"
"REVISTA DIDÁTICA SISTÊMICA","18093108","C"
"REVISTA DO CEJUR/TJSC","23190884",NA
"REVISTA DO IEEE AMÉRICA LATINA","00000000",NA
"REVISTA EDUCAÇÃO E FRONTEIRAS ON-LINE","2237258X",NA
"REVISTA ELETRÔNICA DO MESTRADO EM EDUCAÇÃO AMBIENTAL","15171256","B4"
"REVISTA EXPRESSÃO CIENTÍFICA","25266691","C"
"REVISTA EXTENSÃO","22366784","B4"
"REVISTA FÍSICA NA ESCOLA","",NA
"REVISTA GESTÃO E SUSTENTABILIDADE AMBIENTAL","22388753","B4"
"REVISTA HÚMUS","22364358",NA
"REVISTA IBERO-AMERICANA DE CIÊNCIAS AMBIENTAIS","21796858","B4"
"REVISTA INTROPICA","1794161X",NA
"REVISTA INTRÓPICA","1794161X",NA
"REVISTA JOVENS CIENTISTAS","23189770",NA
"REVISTA LANDA","01018175",NA
"REVISTA MACAMBIRA","25944754",NA
"REVISTA MAGISTRA","22364420",NA
"REVISTA MONOGRAFIAS AMBIENTAIS","22361308",NA
"REVISTA MULTIDISCIPLINAR DE EDUCAÇÃO E MEIO AMBIENTE","2675813X","C"
"REVISTA NACIONAL DE GERENCIAMENTO DE CIDADES","23188472","C"
"REVISTA NORDESTINA DE BIOLOGIA","22361480",NA
"REVISTA NORDESTINA DE CIÊNCIAS BIOLÓGICAS","25953729",NA
"REVISTA NORDESTINA DE ZOOLOGIA","18087663",NA
"REVISTA OURICURI","23170131",NA
"REVISTA PESQUISA QUALITATIVA","25258222","B4"
"REVISTA PINDORAMA","21792984",NA
"REVISTA RA'E GA ¿ ESPAÇO GEOGRÁFICO EM ANÁLISE","21772738",NA
"REVISTA VIRTUAL DE QUÍMICA","19846835","B2"
"RODRIGUESIA","21757860","B1"
"RODRIGUESIA","21757860","B4"
"SABIOS","19800002","C"
"SALAMANDRA","00363375","A3"
"SCIENCE","00368075","A1"
"SCIENCE","10959203","A1"
"SCIENCE & EDUCATION","09267220","A1"
"SCIENCE ADVANCES","23752548","A1"
"SCIENCE OF NATURE","00281042","A3"
"SCIENCE OF THE TOTAL ENVIRONMENT","00489697","A1"
"SCIENTIA AGRICOLA","1678992X","A2"
"SCIENTIA AGRICOLA","01039016","A2"
"SCIENTIA FORESTALIS","14139324","B2"
"SCIENTIA PLENA","18082793","B4"
"SCIENTIA VITAE","23179066","B4"
"SCIENTIAE STUDIA","16783166",NA
"SCIENTIFIC REPORTS","20452322","A1"
"SCIENTOMETRICS","01389130","A1"
"SEMINA-CIENCIAS AGRARIAS","1676546X","A4"
"SEPARATION AND PURIFICATION TECHNOLOGY","13835866","A1"
"SINAPSE AMBIENTAL","18079067",NA
"SITIENTIBUS","01018841",NA
"SITIENTIBUS","",NA
"SITIENTIBUS SERIE CIENCIAS BIOLOGICAS","15196097",NA
"SITIENTIBUS SÉRIE CIÊNCIAS BIOLOGICAS","22384103",NA
"SITIENTIBUS. REVISTA DA UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA","01018841",NA
"SITIENTIBUS. SÉRIE CIÊNCIAS BIOLÓGICAS","15196097",NA
"SN APPLIED SCIENCES","25233963","B4"
"SOCIEDADE & NATUREZA","01031570","B4"
"SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA","16789849","B1"
"SOCIOBIOLOGY","03616525","B2"
"SOCIOBIOLOGY","24478067","B2"
"SOUTH AMERICAN JOURNAL OF HERPETOLOGY","18089798","A3"
"STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT","17445140","A4"
"STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT","01650521","A4"
"TECBAHIA","01043285",NA
"TERR@ PLURAL","1982095X","B4"
"TERRITORIUM","08728941","B4"
"THE BRYOLOGIST","00072745","A3"
"THE JOURNAL OF ARACHNOLOGY","01618202","A4"
"THE JOURNAL OF INFECTION IN DEVELOPING COUNTRIES","20366590","B4"
"THE LATIN AMERICAN JOURNAL OF AQUATIC MAMMALS","16767497",NA
"THE NIGERIAN JOURNAL OF PARASITOLOGY","11174145",NA
"THEORY IN BIOSCIENCES","14317613","A3"
"TOXICON","00410101","A4"
"TRENDS IN PARASITOLOGY","14714922","A1"
"TROPICAL CONSERVATION SCIENCE","19400829","A4"
"TROPICAL ZOOLOGY","19709528","B2"
"TURKISH JOURNAL OF ZOOLOGY","13036114","B1"
"UNIVERSITAS SCIENTIARUM: REVISTA DE LA FACULTAD DE CIENCIAS DE LA PONTIFICIA UNIVERSIDAD JAVERIANA","01227483","B1"
"URBAN ECOSYSTEMS","10838155","A1"
"URBE. REVISTA BRASILEIRA DE GESTÃO URBANA","21753369","A1"
"VECTOR-BORNE AND ZOONOTIC DISEASES","15303667","A4"
"VETERINARY PARASITOLOGY","03044017","A1"
"VITAE","01214004","B3"
"WATER AIR AND SOIL POLLUTION","00496979","A3"
"WETLANDS","02775212","A2"
"WILEY INTERDISCIPLINARY REVIEWS-DATA MINING AND KNOWLEDGE DISCOVERY","19424787","A1"
"XII SEMANA DE MOBILIZAÇÃO CIENTÍFICA DA UCSAL","2177272X",NA
"ZOOKEYS","13132970","A4"
"ZOOLOGIA","19844689","B1"
"ZOOLOGIA: AN INTERNATIONAL JOURNAL FOR ZOOLOGY","19844670","B1"
"ZOOLOGISCHER ANZEIGER","00445231","A3"
"ZOOTAXA","11755334","A4"
"ZOOTAXA","11755326","A4"
