"TITULO","ISSN","ESTRATO"
"BRAZILIAN JOURNAL OF BOTANY","01008404","A4"
"BRAZILIAN JOURNAL OF BOTANY","18069959","A4"
"BRAZILIAN JOURNAL OF DEVELOPMENT","25258761","B4"
"BRAZILIAN JOURNAL OF OCEANOGRAPHY","1982436X","B4"
"BRAZILIAN JOURNAL OF OCEANOGRAPHY","16798759","B4"
"BRYOLOGIST","00072745","A3"
"BULLETIN DE LA SOCIÉTÉ ENTOMOLOGIQUE DE FRANCE","0037928X","C"
"BULLETIN OF ENTOMOLOGICAL RESEARCH","14752670","A2"
"BULLETIN OF ENTOMOLOGICAL RESEARCH","00074853","A2"
"CADERNO DE CULTURA DO ESTUDANTE","01032666",NA
"CADERNO DE INICIAÇÃO À PESQUISA","19806272",NA
"CADERNOS DE AGROECOLOGIA","22367934","B4"
"CADERNOS DE ESTUDOS - SECRETARIA DE AVALIAÇÃO E GESTÃO DA INFORMAÇÃO","18080758",NA
"CADERNOS DE GEOCIENCIAS","01042327",NA
"CADERNOS DE PROSPECÇÃO","19831358","B4"
"CADERNOS DE SAÚDE PÚBLICA","16784464","A1"
"CAHIERS DE BIOLOGIE MARINE","00079723","B2"
"CALDASIA","03665232","B2"
"CAMDOMBÁ","18090362",NA
"CAMINHOS DE GEOGRAFIA","16786343",NA
"CANADIAN ENTOMOLOGIST","0008347X","A3"
"CANADIAN JOURNAL OF ZOOLOGY","14803283","A4"
"CANDOMBÁ - REVISTA VIRTUAL","18090362",NA
"CANDOMBÁ REVISTA VIRTUAL","18090362",NA
"CERNE","01047760","B1"
"CHECK LIST","1809127X","B2"
"CHECK LIST, JOURNAL OF SPECIES LIST AND DISTRIBUTION","1809127X","B2"
"CHECK LIST, JOURNAL OF SPICIES LIST AND DISTRIBUTION","1809127X","B2"
"CHELONIAN CONSERVATION AND BIOLOGY","10718443","B1"
"CHEMICAL GEOLOGY","00092541","A1"
"CHEMOSPHERE","00456535","A1"
"CHIROPTERA NEOTROPICAL","14134403","B4"
"CHIROPTERA NEOTROPICAL","","B4"
